"Name","Category","Price","Stock","Description"
"7 seater Classic Brown Semi-Recliner Sofa","Living Room - Semi Recliners","100000.00","9","A seven-seater recliner is a large, comfy sofa that seats seven people. It has reclining seats, soft cushions, and is perfect for relaxing with family or guests.

"
"7 seater Grey Semi Recliner","Living Room - Semi Recliners","100000.00","9","A seven-seater recliner is a spacious and luxurious seating arrangement designed for maximum comfort and functionality. It typically includes:

Three recliner seats (manual or electric) that allow users to lean back and elevate their feet.

Upholstery made of plush fabric, faux leather, or genuine leather for a soft and stylish finish.

Ample seating space for seven people, arranged in an L-shape or U-shape to suit living room layouts.

Padded armrests and backrests for enhanced comfort.


"
"7 seater Grey Semi Recliner ","Living Room - Semi Recliners","100000.00","9","A seven-seater recliner is a spacious and luxurious seating arrangement designed for maximum comfort and functionality. It typically includes:

Three recliner seats (manual or electric) that allow users to lean back and elevate their feet.

Upholstery made of plush fabric, faux leather, or genuine leather for a soft and stylish finish.

Ample seating space for seven people, arranged in an L-shape or U-shape to suit living room layouts.

Padded armrests and backrests for enhanced comfort.
"
"Amiens Classic Stand","Living Room - TV Stands","24000.00","20","At Bobby Furniture Kenya, our TV stands are crafted to blend functionality with style, bringing elegance and organization to your living room. Designed with modern Kenyan homes in mind, our stands offer ample storage space for your TV, media devices, and decorative items. Whether you prefer sleek contemporary designs, rustic wooden finishes, or bold statement pieces, we have a variety to match your style and space. Each piece is built with quality materials to ensure durability, easy cable management, and a neat entertainment setup. Upgrade your viewing experience with a TV stand that stands out."
"Antique 6-Seater Dinning Table ","Dining Room - Six Seater Dining Sets","88000.00","200","Add a touch of old-world charm to your dining space with this handcrafted 6-seater antique dining table set. Made with rich hardwood and intricate detailing, this piece is more than just furniture — it’s a statement of timeless beauty and tradition.

Key Features:

Seating Capacity: Comfortably accommodates 6

Design Style: Antique-inspired with hand-carved detailing and vintage finishes

Material: Solid hardwood (mahogany, teak, or oak options)

Finish: Distressed or polished antique finish for a vintage aesthetic

Table Shape: Rectangular or oval design with ornate edging and sturdy base

Chairs: Classic high-back wooden chairs with carved details and optional upholstered seats

Ideal For: Traditional homes, heritage-inspired interiors, or luxury dining spaces

Durability: Built to last with solid joinery and high-quality finishing"
"Artificial Banana Tree","Decor","7500.00","9","Large Artificial Banana Tree,Green Plant for living Room,Indoor,Home,Garden,Floor, Decoration
  
 160cm:7500
 190cm:8500"
"Astana 3 seater Classic Sofa","Living Room - Sofas","35000.00","9","Bring elegance and comfort into your home with the Nairobi Luxe 3-Seater Sofa. Handcrafted for durability and designed for style, this sofa features deep seating, firm yet soft cushions, and a timeless silhouette that fits any modern or traditional living room. The smooth fabric finish is both breathable and easy to maintain, making it perfect for family use or formal spaces.
"
"Astoria 4 Seater Dinning Table ","Dining Room - Four seater DIning Sets","48000.00","20","Astoria dining table is a strong, classic table made from solid wood like oak or pine. It usually has a smooth, flat top where people eat and strong legs to support it. The wood can be light or dark, showing natural patterns. It comes in different shapes like round or rectangular and fits 4 to 10 people. This type of table adds a warm, natural feel to any dining room.

"
"Athens 3 Seater Chester ","Living Room - Sofas","36000.00","9","Upgrade your living space with our stylish and spacious 3-seater sofa — the perfect blend of comfort and class. Expertly crafted with a sturdy hardwood frame and plush, high-density cushions, this sofa offers lasting durability and support. Wrapped in premium upholstery, it's soft to the touch and easy to clean, making it ideal for both everyday lounging and entertaining guests. The sleek design and neutral tones fit effortlessly into any décor.

Features:

Seats 3 adults comfortably

High-resilience foam cushions

Premium fabric/leather finish (customizable)

Strong wooden frame for long-term durability

Modern design with elegant stitching

Perfect for your home, office, or lounge space."
"Aviana U-shaped pink orange","Living Room - Sectional Sofas","75000.00","200","The Aviana U-Shaped Sofa is the ultimate centerpiece for modern living, blending refined elegance with luxurious comfort. Designed for large spaces and family gatherings, Aviana offers ample seating, deep cushioning, and a beautifully curved silhouette that invites you to relax in style.

Key Features:

Design: Generous U-shaped layout perfect for spacious living rooms

Seating Capacity: Accommodates 6–8 people comfortably

Style: Soft, contemporary curves with a clean, elegant profile

Upholstery Options: Available in premium fabric or velvet, with custom colors to match your space

Comfort: Plush high-density cushions and wide armrests for maximum relaxation

Frame: Sturdy hardwood frame built for lasting durability

Extras (Optional): Throw pillows, matching ottoman, or storage features available

Ideal For: Large families, entertainers, or anyone who loves bold, beautiful furniture
"
"Bamboo Nevy Blue 3 seater","Living Room - Sofas","36000.00","30","Bring elegance and comfort into your home with the Nairobi Luxe 3-Seater Sofa. Handcrafted for durability and designed for style, this sofa features deep seating, firm yet soft cushions, and a timeless silhouette that fits any modern or traditional living room. The smooth fabric finish is both breathable and easy to maintain, making it perfect for family use or formal spaces.
"
"Banny 6by6 Classic Bed","Bedroom - Beds","58000.00","9","Upgrade your sleeping space with our exclusive range of upholstered beds, where comfort meets modern elegance. This collection features beautifully crafted pieces, including deep royal blue velvet beds for a bold, luxurious look and soft beige options accented with gold finishes for a touch of class.

Each bed is designed with attention to detail—high, padded headboards offer excellent back support and add a dramatic focal point to your room, while the sturdy wooden bases ensure lasting strength and stability. Whether you're drawn to minimalist lines or rich textures, there's a design to match your unique taste.

Features:

Eye-catching upholstery in rich velvet and smooth leatherette

Stylish headboard designs: vertical panels, gold accents, and soft curves

Strong hardwood frames for long-term durability

Suitable for all bedroom themes: modern, contemporary, or classic

Custom sizing and color options available
"
"Bed Side Cabinet","Bedroom - Wardrobes","7500.00","0","The Bed Side Cabinet is the ideal companion for your bed, combining practicality with modern design. Featuring a spacious surface ares, it provides ample space for bedside lamps, books, and personal items, while its sleek design complements any bedroom decor. Many models come equipped with drawers or small cabinets, offering additional storage for essentials like medications, chargers, or reading materials, Crafted from high-quality materials, this cabinet not only enhances your bedrooms aesthetic but also ensures durability and longevity Elevate you nighttime routine with a Bed Side Cabinet that meets your storage needs while adding a touch of style to you"
"Beige 5-Seater Chester ","Living Room - Couches in Set","62000.00","1000","Add timeless elegance and luxurious comfort to your living space with our Beige 5-Seater Chesterfield Sofa. Expertly crafted with a classic tufted backrest, rolled arms, and deep seating, this piece is perfect for both modern and traditional interiors. The soft beige upholstery adds a warm, neutral touch that blends seamlessly with any décor, while the sturdy hardwood frame ensures long-lasting durability.

Key Features:

Classic Chesterfield design with deep button tufting

Soft, durable beige fabric upholstery

Spacious 5-seater layout ideal for families and entertaining

Rolled arms and plush cushions for maximum comfort

Strong hardwood frame and quality craftsmanship"
"Beige Cloud Luxe Modular Sofa ","Living Room - Sectional Sofas","75000.00","200","Experience unmatched comfort and bold modern design with the Cloud Luxe Modular Sofa — a true masterpiece for contemporary living spaces. Designed with deep tufted cushioning and wrapped in plush, premium upholstery, this oversized sectional offers both elegance and relaxation in one stunning package.

Whether you're lounging solo or entertaining guests, its spacious layout and modular design allow for ultimate flexibility and luxurious comfort. Perfect for statement interiors and family-friendly living.

Features:

Ultra-soft, cloud-like deep tufted seating

Premium textured fabric upholstery in pale brown 

Modular design for customizable arrangements

Built for comfort, durability, and visual impact"
"Beige Jirani Sofa 5-Seater","Living Room - Couches in Set","54000.00","90","

Beige 5-Seater Jirani Sofa with Puff
Elevate your living room with this cozy and elegant 5-seater beige sofa set, designed for comfort, versatility, and timeless style. The soft beige fabric adds a warm, neutral tone that blends beautifully with any interior décor.

Features:

Spacious 5-seater configuration – perfect for family and guests

Includes a matching puff (ottoman) – ideal for relaxing or use as extra seating

Plush cushions with high-density foam for all-day comfort

Durable wooden frame for long-lasting support

Neutral beige upholstery – easy to style with colorful pillows or throws

Soft-touch fabric that’s both elegant and easy to maintain
Whether you're hosting, lounging, or simply relaxing, this sofa set offers the perfect blend of function and flair."
"Beige Raha Corner 6 Seater ","Living Room - Sectional Sofas","52000.00","20","Raha Corner L-shaped coach is a modern and versatile centerpiece crafted to maximize space and comfort. Its angular design fits seamlessly into corners, creating an open and inviting layout ideal for both intimate settings and larger gatherings. With extended lounging space and a cohesive structure, it offers a perfect blend of form and function. The clean lines, supportive cushions, and elegant upholstery make it a stylish addition to any contemporary living area, enhancing both comfort and visual appeal.

"
"Beige Terry Siesta 5 Seater","Living Room - Couches in set","68000.00","20","Bring elegance and comfort into your home with the Terry Siesta Sofa. Handcrafted for durability and designed for style, this sofa features deep seating, firm yet soft cushions, and a timeless silhouette that fits any modern or traditional living room. The smooth fabric finish is both breathable and easy to maintain, making it perfect for family use or formal spaces.

Key Features:

Seats 3 adults comfortably

Strong, termite-resistant wooden frame

Removable, washable cushion covers

Available in multiple colors
"
"Bella Luxe Wardrobe Organizer","Bedroom - Wardrobes","65000.00","100","Elevate your bedroom organization with the Bella Luxe Wardrobe Organizer — a sleek, modern storage solution that blends elegance and function. Crafted in a crisp white finish, this unit features a full-length mirror for dressing, three spacious open shelves for decor or daily essentials, and five smooth-glide drawers with chrome knobs for secure storage. Perfect for compact spaces, this versatile piece offers both style and practicality, making it a must-have for contemporary living."
"Bellmere 6-Seater Dinning Table ","Dining Room - Six Seater Dining Sets","82000.00","200","Bring bold design and lasting durability to your dining space with this 6-seater metal dining set. Featuring a sleek table paired with uniquely curved iron chairs, this set delivers an industrial-modern look with everyday functionality.

Key Features:

Seating Capacity: Comfortably seats 6

Material: Heavy-duty iron metal frame with wood or metal tabletop options

Chair Design: Ergonomically curved iron chairs for comfort and contemporary style

Finish: Matte black, rustic bronze, or powder-coated finishes for extra durability

Style: Industrial-inspired design with clean lines and a modern edge

Ideal For: Lofts, modern homes, restaurants, or outdoor dining areas

Weather Resistant (Optional): Great for indoor or covered outdoor use

Maintenance: Scratch-resistant, easy to clean, and rust-protected coating"
"Black & White Square Coffee Table ","Living Room - Coffee Tables","22000.00","20","Our coffee tables are more than just furniture — they’re the centerpiece of your living space. At Bobby Furniture Kenya, we design coffee tables that blend style, function, and durability. Whether you're looking for a sleek modern piece, a rustic wooden charm, or a minimalist glass-top design, we have options to suit every taste and space. Perfect for hosting, displaying décor, or simply relaxing with a cup of coffee, our tables add warmth and elegance to any room. Crafted with quality materials and attention to detail, a Bobby coffee table transforms your living room into a stylish, inviting space.
"
"Blue Bubble Fabric 6 Seater ","Living Room - Sectional Sofas","60000.00","20","A 6-seater L-shaped coach is a modern and versatile centerpiece crafted to maximize space and comfort. Its angular design fits seamlessly into corners, creating an open and inviting layout ideal for both intimate settings and larger gatherings. With extended lounging space and a cohesive structure, it offers a perfect blend of form and function. The clean lines, supportive cushions, and elegant upholstery make it a stylish addition to any contemporary living area, enhancing both comfort and visual appeal.

"
"Bobby Classic 5 Seater ","Living Room - Couches in set","54000.00","20","A 5-seater 3+2 coach is a spacious and stylish piece of furniture designed to comfortably accommodate multiple people. It typically features two separate sections—one larger and one slightly smaller—creating a balanced layout that enhances both comfort and aesthetics. Upholstered in quality fabric or leather, it often comes with plush backrests, supportive armrests, and a sturdy frame. Ideal for living rooms, it blends functionality with design, making it a centerpiece for relaxation, conversation, or entertainment.

"
"Bobby Feast Dinning Table 6 Seater ","Dining Room - Six seater DIning Sets","68000.00","20","A wooden dining table is a strong, classic table made from solid wood like oak or pine. It usually has a smooth, flat top where people eat and strong legs to support it. The wood can be light or dark, showing natural patterns. It comes in different shapes like round or rectangular and fits 4 to 10 people. This type of table adds a warm, natural feel to any dining room.

"
"Bobby Umoja 4 Seater Dinning Table ","Dining Room - Four seater DIning Sets","48000.00","20","A wooden dining table is a strong, classic table made from solid wood like oak or pine. It usually has a smooth, flat top where people eat and strong legs to support it. The wood can be light or dark, showing natural patterns. It comes in different shapes like round or rectangular and fits 4 to 10 people. This type of table adds a warm, natural feel to any dining room.

"
"Bobby Umoja 6 Seater ","Dining Room - Six seater DIning Sets","58000.00","20","A wooden dining table is a strong, classic table made from solid wood like oak or pine. It usually has a smooth, flat top where people eat and strong legs to support it. The wood can be light or dark, showing natural patterns. It comes in different shapes like round or rectangular and fits 4 to 10 people. This type of table adds a warm, natural feel to any dining room.

"
"BobbyLux Classic Dressing Mirror ","Bedroom - Dressers","34000.00","20","A dressing mirror is a full-length or medium-sized mirror designed to help individuals view themselves while getting dressed or grooming. It is typically placed in bedrooms, dressing rooms, or closets.

Here are key features of a dressing mirror:

Full-body view: Most dressing mirrors are tall enough to reflect the entire body, making them ideal for checking outfits from head to toe.

Frame styles: They come in a variety of frames—wooden, metal, plastic, or frameless—to match different interior decor themes.

Mounting options: Dressing mirrors can be wall-mounted, free-standing with a stand or easel back, or integrated into a wardrobe or vanity unit.

Added features: Some may include storage compartments, LED lighting, or tilting functions for better angle adjustment."
"BobbyLux Classic White ","Living Room - TV Stands","24000.00","20","Bobby Furniture Kenya, our TV stands are crafted to blend functionality with style, bringing elegance and organization to your living room. Designed with modern Kenyan homes in mind, our stands offer ample storage space for your TV, media devices, and decorative items. Whether you prefer sleek contemporary designs, rustic wooden finishes, or bold statement pieces, we have a variety to match your style and space. Each piece is built with quality materials to ensure durability, easy cable management, and a neat entertainment setup. Upgrade your viewing experience with a TV stand that stands out.
"
"Bubble Butterfly 5-Seater ","Living Room - Couches in Set","55000.00","1000","Bring elegance and charm to your home with our 5-Seater Butterfly Sofa – a perfect blend of style, comfort, and functionality. Designed with a unique butterfly wing-inspired silhouette, this statement piece adds a touch of modern luxury to any living room. The spacious seating, plush cushions, and premium upholstery make it ideal for lounging, entertaining, or everyday family use.

Key Features:

Eye-catching butterfly wing design

Spacious 5-seater configuration

High-density foam cushions for superior comfort

Durable frame and quality fabric upholstery

Ideal for modern and contemporary interiors"
"Buffet Table in any type of colour","Living Room - Console Tables","28999.00","9","Serve your guests in style with our elegant buffet table, perfect for dining and entertaining. This versatile piece offers ample storage space for dishes, cutlery, and linens, making it ideal for hosting gatherings or family meals. Crafted with a beautiful finish, it complements various decor styles while providing functionality. Its spacious surface is perfect for displaying food and drinks, ensuring that your entertaining setup is both practical and stylish. Elevate your dining experience with this must-have buffet table"
"Bunbury Classic Stand","Living Room - TV Stands","25000.00","20","Bobby Furniture Kenya, our TV stands are crafted to blend functionality with style, bringing elegance and organization to your living room. Designed with modern Kenyan homes in mind, our stands offer ample storage space for your TV, media devices, and decorative items. Whether you prefer sleek contemporary designs, rustic wooden finishes, or bold statement pieces, we have a variety to match your style and space. Each piece is built with quality materials to ensure durability, easy cable management, and a neat entertainment setup. Upgrade your viewing experience with a TV stand that stands out.
"
"Bunkbed with Storage & staircase","Kids Room - Double Deckers","62000.00","200","Maximize your space without compromising on style! Our handcrafted bunk beds are designed for durability, safety, and modern living. Ideal for kids’ rooms, guest spaces, or shared rentals, each piece is built with solid hardwood and a sleek finish to match your aesthetic. Available in single-over-single and double-over-double options, with customizable colors and storage drawers upon request.
"
"BunkBed With Storage & Staircase ","Kids Room - Double Deckers","65000.00","100","Maximize your space without compromising on style! Our handcrafted bunk beds are designed for durability, safety, and modern living. Ideal for kids’ rooms, guest spaces, or shared rentals, each piece is built with solid hardwood and a sleek finish to match your aesthetic. Available in single-over-single and double-over-double options, with customizable colors and storage drawers upon request.
"
"Butterfly 6 - Seater Sofa","Living Room - Couches in set","62000.00","20","The Butterfly Sofa is a unique and stylish furniture piece that features a distinctive design inspired by the beautiful and delicate wings of a butterfly. It typically has a sleek and modern look with gracefully curved lines that resemble butterfly wings. The sofa is designed to be both aesthetically pleasing and comfortable, making it a stylish addition to any modern living space. Its innovative design sets it apart from traditional sofas, adding a touch of elegance and sophistication to the room."
"Butterfly Sofa 3-Seater pink","Living Room - Sofas","32000.00","20","Add a touch of elegance and charm to your living space with the Butterfly 3-Seater Sofa. Inspired by the grace of butterfly wings, this sofa features a unique, curved backrest design that brings both beauty and comfort into any room.

Features:

Elegant butterfly-shaped backrest with gentle curves

Comfortably seats three people – perfect for small families or cozy spaces

Plush cushioning and soft upholstery for a luxurious feel

Compact yet stylish design ideal for modern apartments or lounges

Sturdy frame and quality fabric built for long-lasting use"
"Cambria U-shaped Sofa ","Living Room - Sectional Sofas","70000.00","200","The Cambria U-Shaped Sofa is a grand statement piece designed for elegant living. Upholstered in smooth khaki fabric, Cambria’s generously curved form offers both sophistication and plenty of space to unwind, gather, or entertain in style.

Key Features:

Seating Capacity: Comfortably accommodates 6–8 people

Upholstery: Premium khaki fabric – soft to the touch with a rich, natural tone

Design: U-shaped layout ideal for large spaces, conversation circles, or open-plan living

Frame: Expertly crafted from kiln-dried hardwood for long-lasting strength

Comfort: Deep seating, supportive cushions, and wide armrests for total relaxation

Style: Classic meets contemporary — with elegant curves and neutral coloring for timeless appeal

Ideal For: Family lounges, upscale apartments, or stylish commercial spaces

Maintenance: Easy to care for and resistant to everyday wear"
"Carson 5 seater Classic Sofa Set","Living Room - Couches in set","67000.00","9","A 5-seater 3+2 coach is a spacious and stylish piece of furniture designed to comfortably accommodate multiple people. It typically features two separate sections—one larger and one slightly smaller—creating a balanced layout that enhances both comfort and aesthetics. Upholstered in quality fabric or leather, it often comes with plush backrests, supportive armrests, and a sturdy frame. Ideal for living rooms, it blends functionality with design, making it a centerpiece for relaxation, conversation, or entertainment.
"
"Carson 5 seater Classic Sofa Set","Living Room - Couches in Set","68000.00","100","Sleek, spacious, and effortlessly stylish — The Carson 5 is designed for modern living with a touch of timeless charm. This 5-seater sofa features clean lines, plush cushions, and wide seating that invites relaxation for the whole family. Upholstered in a soft, durable fabric (or leather, if applicable), it’s built for comfort and made to last.

Its minimalist profile is elevated by gently flared arms and low-profile legs, making it a versatile piece that blends seamlessly into contemporary, urban, or classic spaces. Whether you're hosting guests or enjoying a quiet evening, The Carson 5 offers the perfect balance of comfort, space, and style.

Perfect For:

Family lounges

Contemporary apartments

Guest-ready living rooms

Airbnb or serviced apartments"
"Casa Luxe 5 Seater With Corduroy fabric ","Living Room - Couches in set","58000.00","20","A 5-seater 3+2 coach is a spacious and stylish piece of furniture designed to comfortably accommodate multiple people. It typically features two separate sections—one larger and one slightly smaller—creating a balanced layout that enhances both comfort and aesthetics. Upholstered in quality fabric or leather, it often comes with plush backrests, supportive armrests, and a sturdy frame. Ideal for living rooms, it blends functionality with design, making it a centerpiece for relaxation, conversation, or entertainment.

"
"Castle Antique Wing Chair ","Living Room - Accent Chairs","68000.00","20","Make a bold statement with our elegant wing chairs — the perfect blend of classic charm and modern comfort. Designed with high backs, graceful “wings,” and plush cushioning, our wing chairs offer both support and style. Whether used as a reading nook accent, a statement piece in your living room, or a cozy corner addition, Bobby Furniture Kenya’s wing chairs bring sophistication and relaxation to any space. Upholstered in premium fabrics and crafted with durable frames, they’re built to offer timeless beauty and lasting comfort.

"
"Chest Of Drawers ","Bedroom - Wardrobes","35000.00","9","Enhance your bedroom or living space with this stunning chest of drawers featuring a sleek marble top. Crafted for both style and practicality, this piece offers ample storage while adding a touch of luxury to your home. The chest of drawers is fully customizable to any color, ensuring it complements your décor perfectly. Ideal for storing clothes, accessories, or other essentials, this versatile piece offers a perfect balance of form and function. The durable marble top elevates its elegance, making it a timeless addition to any modern home."
"Chinese Laterite Ceramic Vase","Decor","3550.00","0","Chinese Ceramic Vase Half -Glazed Round Modison Laterite Ceramic Vase"
"Classic Black & White Stand","Living Room - TV Stands","32000.00","20","At Bobby Furniture Kenya, our TV stands are crafted to blend functionality with style, bringing elegance and organization to your living room. Designed with modern Kenyan homes in mind, our stands offer ample storage space for your TV, media devices, and decorative items. Whether you prefer sleek contemporary designs, rustic wooden finishes, or bold statement pieces, we have a variety to match your style and space. Each piece is built with quality materials to ensure durability, easy cable management, and a neat entertainment setup. Upgrade your viewing experience with a TV stand that stands out."
"Classic Grey Square Coffee Table ","Living Room - Coffee Tables","22000.00","20","Our coffee tables are more than just furniture — they’re the centerpiece of your living space. At Bobby Furniture Kenya, we design coffee tables that blend style, function, and durability. Whether you're looking for a sleek modern piece, a rustic wooden charm, or a minimalist glass-top design, we have options to suit every taste and space. Perfect for hosting, displaying décor, or simply relaxing with a cup of coffee, our tables add warmth and elegance to any room. Crafted with quality materials and attention to detail, a Bobby coffee table transforms your living room into a stylish, inviting space.
"
"Classic Set Coffee Table ","Living Room - Coffee Tables","32000.00","20","Our coffee tables are more than just furniture — they’re the centerpiece of your living space. At Bobby Furniture Kenya, we design coffee tables that blend style, function, and durability. Whether you're looking for a sleek modern piece, a rustic wooden charm, or a minimalist glass-top design, we have options to suit every taste and space. Perfect for hosting, displaying décor, or simply relaxing with a cup of coffee, our tables add warmth and elegance to any room. Crafted with quality materials and attention to detail, a Bobby coffee table transforms your living room into a stylish, inviting space.
"
"ClassicHue Tv Stand","Living Room - TV Stands","28000.00","20","Bobby Furniture Kenya, our TV stands are crafted to blend functionality with style, bringing elegance and organization to your living room. Designed with modern Kenyan homes in mind, our stands offer ample storage space for your TV, media devices, and decorative items. Whether you prefer sleek contemporary designs, rustic wooden finishes, or bold statement pieces, we have a variety to match your style and space. Each piece is built with quality materials to ensure durability, easy cable management, and a neat entertainment setup. Upgrade your viewing experience with a TV stand that stands out.
"
"Cloud Lex Modular Sofa Gray Colour ","Living Room - Sectional Sofas","70000.00","9","Experience unmatched comfort and bold modern design with the Cloud Luxe Modular Sofa — a true masterpiece for contemporary living spaces. Designed with deep tufted cushioning and wrapped in plush, premium upholstery, this oversized sectional offers both elegance and relaxation in one stunning package.

Whether you're lounging solo or entertaining guests, its spacious layout and modular design allow for ultimate flexibility and luxurious comfort. Perfect for statement interiors and family-friendly living.

Features:

Ultra-soft, cloud-like deep tufted seating

Premium textured fabric upholstery in charcoal grey

Modular design for customizable arrangements

Built for comfort, durability, and visual impact"
"Cloud Lex Modular Sofa Off White (7seater)","Living Room - Sectional Sofas","70000.00","9","Experience unmatched comfort and bold modern design with the Cloud Luxe Modular Sofa — a true masterpiece for contemporary living spaces. Designed with deep tufted cushioning and wrapped in plush, premium upholstery, this oversized sectional offers both elegance and relaxation in one stunning package.

Whether you're lounging solo or entertaining guests, its spacious layout and modular design allow for ultimate flexibility and luxurious comfort. Perfect for statement interiors and family-friendly living.

Features:

Ultra-soft, cloud-like deep tufted seating

Premium textured fabric upholstery in Off- white velvet

Modular design for customizable arrangements

Built for comfort, durability, and visual impact"
"Cloud Lex Modular Sofa Pale Brown","Living Room - Sectional Sofas","70000.00","9","Experience unmatched comfort and bold modern design with the Cloud Luxe Modular Sofa — a true masterpiece for contemporary living spaces. Designed with deep tufted cushioning and wrapped in plush, premium upholstery, this oversized sectional offers both elegance and relaxation in one stunning package.

Whether you're lounging solo or entertaining guests, its spacious layout and modular design allow for ultimate flexibility and luxurious comfort. Perfect for statement interiors and family-friendly living.

Features:

Ultra-soft, cloud-like deep tufted seating

Premium textured fabric upholstery in pale brown 

Modular design for customizable arrangements

Built for comfort, durability, and visual impact"
"CloudSet 6-Seater With Bubble Fabric ","Living Room - Couches in Set","65000.00","100","Soft to the touch and built for comfort, the CloudSet 6-Seater combines modern design with plush relaxation. Featuring a 3+2+1 configuration, this set offers flexibility and space for the whole family — or for those who love to host.

Upholstered in unique bubbled-texture fabric, each seat invites you to sink in and unwind. The 3-seater offers generous lounging space, the 2-seater is perfect for close conversations, and the single is a cozy personal retreat. With deep cushions, wide armrests, and sturdy wooden legs, this set adds warmth and elegance to any room.

Whether it’s a quiet evening or lively gathering, the CloudSet is your go-to for everyday comfort and timeless style.

Key Features:

6-seater (3+2+1 layout)

Bubbled soft-touch fabric for a cozy feel

Medium-firm cushions for support and relaxation

Durable hardwood frame

Neutral tones or bold colors available"
"Colonial Charm Set 6-seater ","Dining Room - Six Seater Dining Sets","67000.00","200","Timeless Charm – Vintage Old-School 6-Seater Dining Table with Bench
Add a touch of classic elegance to your home with this vintage-inspired 6-seater dining set. Crafted from solid wood with a rustic finish, this table captures the charm of old-school design while offering modern-day functionality. The set includes four chairs and a matching bench – perfect for family meals, friendly gatherings, or cozy conversations. The sturdy build, distressed textures, and warm tones make it a centerpiece that tells a story of timeless style and comfort.
"
"Cream Leather Bed With Dressing Mirror ","Bedroom - Headboards","68000.00","900","Upgrade your sleeping space with our exclusive range of upholstered beds, where comfort meets modern elegance. This collection features beautifully crafted pieces, including deep royal blue velvet beds for a bold, luxurious look and soft beige options accented with gold finishes for a touch of class.

Each bed is designed with attention to detail—high, padded headboards offer excellent back support and add a dramatic focal point to your room, while the sturdy wooden bases ensure lasting strength and stability. Whether you're drawn to minimalist lines or rich textures, there's a design to match your unique taste.

Features:

Eye-catching upholstery in rich velvet and smooth leatherette

Stylish headboard designs: vertical panels, gold accents, and soft curves

Strong hardwood frames for long-term durability

Suitable for all bedroom themes: modern, contemporary, or classic

Custom sizing and color options available"
"Crescent Moon Sofa.","Living Room - Sofas","58000.00","9","Add a touch of sophistication and comfort to your space with our Curved Modern Crescent Sofa. Crafted with a smooth, sculpted silhouette and upholstered in premium fabric, this statement piece blends luxury and style effortlessly. The soft, sweeping curves provide a unique aesthetic while maximizing seating comfort—ideal for contemporary homes, lounges, or showrooms.
Features:

Sleek curved design for a bold modern look

High-density foam cushioning for superior comfort

Upholstered in high-quality, easy-to-clean fabric

Sturdy gold-toned metal legs for a touch of elegance

Perfect for both residential and commercial spaces"
"Crisp White 6-Seater L-Shaped Sofa","Living Room - Sectional Sofas","54000.00","100","Elevate Your Living Space with this sleek white L-shaped sofa, designed to blend seamlessly into any interior style. Its 5-seater layout is perfect for cozy family evenings or entertaining guests, while the premium-quality upholstery promises both durability and elegance.

Why You’ll Love It:
✔ Spacious 5-Seater – Generously sized without overwhelming your space
✔ Crisp White Finish – Adds brightness and a touch of sophistication
✔ Proudly Handmade in Kenya – Crafted by skilled local artisans with care"
"Daily Dine Dinning Table 6 Seater ","Dining Room - Six seater DIning Sets","58000.00","20","A wooden dining table is a strong, classic table made from solid wood like oak or pine. It usually has a smooth, flat top where people eat and strong legs to support it. The wood can be light or dark, showing natural patterns. It comes in different shapes like round or rectangular and fits 4 to 10 people. This type of table adds a warm, natural feel to any dining room.

"
"Dark Grey Semi Recliner 7-Seater","living-room","100000.00","20","A semi recliner is a chair that allows partial reclining, offering a slight backward tilt and elevated footrest for added comfort without fully lying back.

"
"Darwin 5by6 Bed","Bedroom - Beds","38000.00","9","Transform your bedroom into a haven of style and sophistication with our premium upholstered bed collection. Featuring a stunning blend of bold colors, elegant curves, and fine craftsmanship, each bed is designed to make a statement while offering unmatched comfort. Choose from rich velvet finishes like deep royal blue for a regal touch, or go for the clean, modern appeal of cream tones with gold accents.

These beds are crafted with high-quality wood frames and padded with durable, soft upholstery that adds both structure and style. From sleek vertical tufting to gracefully arched headboards, every design element is thoughtfully chosen to suit both contemporary and classic spaces."
"Dining Table","dining-room","35000.00","5","Elegant wooden dining table for 6 people"
"Donut Ceramic Vase ","Decor","4500.00","9","Ceramic Donut Vase, 12 Inch Flower Vase for Home Decor, Round Matte Textured Vase in Black and White for Flowers, Ribbed Vase for Centerpiece, Bedroom, entryway, Living Room

Available in black and white"
"Double Decker DD001","Kids Room - Double Deckers","35000.00","9","The Double Decker (4by6) bed is a practical and stylish solution for maximizing sleeping space in your home Designed to accommodate two individuals comfortably, this bunk bed is perfect for children's rooms, guest accommodations, or shared living spaces. Its sturdy construction ensures safety and durability, while the classic design complements various interior styles. Whether you need extra sleeping arrangements for guests or a fun sleeping solution for kids, the double decker bed provides both functionality and comfort"
"Double Decker DD002","Kids Room - Double Deckers","38000.00","9","
The Double Decker (4x6) bed is a practical and stylish solution for maximizing sleeping space in your home Designed to accommodate two individuals comfortably, this bunk bed is perfect for children's rooms, guest accommodations, or shared living spaces. Its sturdy construction ensures safety and durability, while the classic design complements various interior styles. Whether you need extra sleeping arrangements for guests or a fun sleeping solution for kids, the double decker bed provides both functionality and comfort"
